cell_label,x,y,z,Drd1,Drd2,Tac1,Adora2a,Pdyn,Penk,Oprd1,Oprk1,Oprm1,Cnr1,Agrp,Cartpt,Nts,Hcrtr1,Hcrtr2,Lepr,Irs1,Irs2,Mc4r,Npy1r,Npy2r,Npy5r,Mme,Htr1b,Htr2c,Htr4,Otof,Chrm3,Plxnc1,Nrp2,brain_section_label
1018093344102120495-4,2.26612046236445,7.68387625332668,8.8,6.32,0.03012,10.36,0.6,1.115,0.582,0,3.285,0.2412,0.06464,1.613,2.457,0.1633,0,0.2754,0,0.846,1.004,0,8.64,0,3.326,2.543,0.2151,6.332,9.99,4.2,3.537,2.023,9.586,C57BL6J-638850.47
1018093344102120521-2,2.25346807862208,7.66880610068441,8.8,6.387,0,10.266,0.485,1.416,0.5425,0.02922,2.74,0.328,0.02779,1.622,2.309,0.2769,0,0.1927,0,0.7563,1.323,0,8.34,0,3.047,2.205,0.3184,6.074,10,4.1,2.992,2.045,9.55,C57BL6J-638850.47
1018093344102120546-3,2.24234327201419,7.72159883825051,8.8,6.426,0,10.27,0.602,2.137,0.5806,0.02922,2.75,0.2742,0.02779,1.651,3.877,0.2208,0,0.1927,0,0.771,1.19,0,8.36,0.3303,3.01,2.102,0.2915,5.992,10,4.094,1.892,2.05,9.35,C57BL6J-638850.47
1018093344202120489-1,2.25481922969854,7.68653184696576,8.8,6.418,0,10.28,0.4812,1.165,0.5625,0.02922,2.984,0.3503,0.02779,1.674,2.52,0.2145,0,0.2754,0,0.742,1.281,0,8.4,0,3.338,2.633,0.2915,6.195,9.98,4.14,3.486,2.06,9.59,C57BL6J-638850.47
1018093344102120500-3,2.26194624504521,7.66478870449908,8.8,5.957,0,10.39,0.3362,1.148,0.5317,0,2.127,0.4614,0.0639,1.378,2.312,0.3318,0,0.2003,0,0.696,1.281,0,8.125,0,3.338,2.377,0.2686,5.883,9.695,3.281,3.512,2.014,9.54,C57BL6J-638850.47
1018093344102120502-2,2.26341727255011,7.67612567906751,8.8,6.31,0,10.305,0.542,1.032,0.5137,0,2.773,0.2703,0,1.816,2.562,0.25,0,0.2478,0,0.688,1.219,0,8.516,0,2.96,2.254,0.2408,6.066,10.03,3.941,3.383,1.926,9.54,C57BL6J-638850.47
1018093344202120468,2.2714933182057,7.65782580806658,8.8,6.04,0,10.305,0.4011,1.346,0.4312,0,2.264,0.3096,0.0864,1.601,2.428,0.4622,0,0.1652,0,0.789,1.437,0,8.164,0,3.008,2.453,0.2944,5.8,9.91,3.375,3.055,2.16,9.56,C57BL6J-638850.47
1018093344102120517-3,2.25622106806005,7.65817365662597,8.8,6.035,0,10.41,0.2805,2.121,0.5337,0.02922,2.297,0.3994,0.0566,1.568,3.656,0.3254,0,0.1652,0,0.7837,1.294,0,8.125,0.3357,3.512,2.156,0.2925,5.55,9.69,3.266,2.27,2.096,9.35,C57BL6J-638850.47
1.01715595610243e+18,2.89496397350329,7.99841624248434,9,6.22,0.03012,10.43,0.5396,1.173,0.6187,0,3.13,0.4336,0,1.677,2.586,0.3052,0,0.2754,0,0.7637,1.247,0,8.555,0,3.451,2.639,0.2151,6.273,9.97,3.988,3.477,1.85,9.586,C57BL6J-638850.48
1.01715595610243e+18,2.88566399048872,7.97259334696149,9,6.25,0.0904,10.36,0.629,0.91,0.747,0,3.668,0.349,0.097,1.508,2.521,0.3027,0,0.2754,0,0.8037,0.9805,0,8.766,0,3.479,1.996,0.1348,6.69,9.92,4.23,3.855,2.031,9.47,C57BL6J-638850.48
1.01715595610244e+18,2.88151810713894,7.86656841528219,9,6.156,0,10.375,0.4905,1.199,0.576,0,2.947,0.3533,0.03506,1.702,2.484,0.3071,0,0.338,0,0.858,1.064,0,8.42,0,3.453,2.635,0.216,6.227,9.8,3.809,3.56,1.718,9.59,C57BL6J-638850.48
1.01715595610243e+18,2.88286410466577,7.95594385871343,9,5.82,0,10.57,0.2524,1.246,0.642,0,2.102,0.3484,0,1.156,2.703,0.3667,0,0.1377,0,0.7573,1.118,0,8.12,0,3.672,2.242,0.2705,5.777,9.516,2.963,3.13,1.895,9.5,C57BL6J-638850.48
1.01715595610227e+18,3.47395977001774,8.04403832447712,9,5.82,0,10.39,0.2327,1.416,0.477,0.02922,1.978,0.404,0.0854,1.302,4.19,0.4397,0,0.1101,0,0.7974,1.421,0,7.918,0.09314,3.324,1.731,0.346,5.508,9.67,3.053,1.798,2.135,9.15,C57BL6J-638850.48
1.01715595610243e+18,2.89843733390649,7.90175031882404,9,6.383,0.06024,10.33,0.598,1.286,0.608,0,3.316,0.267,0.097,1.902,2.338,0.2198,0,0.2478,0,0.8467,1.111,0,8.664,0,3.322,2.598,0.2151,6.496,9.97,4.047,3.43,2.086,9.58,C57BL6J-638850.48
1.01715595620243e+18,2.87389647276468,7.94068917819026,9,6.47,0.06024,10.336,0.6396,1.359,0.6606,0,3.541,0.1335,0.1293,1.794,2.146,0.1921,0,0.2202,0,0.817,0.7383,0,8.734,0,3.084,1.995,0.1605,6.7,9.95,4.48,3.402,1.977,9.484,C57BL6J-638850.48
1.01715595610243e+18,2.90836539718955,7.89332200874901,9,6.414,0.03012,10.36,0.5483,1.38,0.532,0,3.025,0.1924,0.03232,1.746,2.424,0.2805,0,0.2202,0,0.8477,0.935,0,8.63,0,3.078,2.64,0.2428,6.16,9.92,4.137,3.645,1.907,9.586,C57BL6J-638850.48
1.01715595610243e+18,2.88807545100922,7.93363799268429,9,6.43,0.03012,10.32,0.637,1.115,0.557,0,3.076,0.1621,0.06464,1.797,2.457,0.1652,0,0.2478,0,0.83,0.9233,0,8.62,0,3.084,2.543,0.1873,6.14,10.02,4.23,3.537,2.025,9.586,C57BL6J-638850.48
1.01715595610243e+18,2.87822319803108,7.94692326801815,9,6.293,0.03012,10.43,0.549,1.206,0.656,0,3.17,0.216,0,1.7295,2.281,0.2734,0,0.2478,0,0.7334,1.043,0,8.68,0,3.242,2.191,0.2428,6.02,10,4.258,2.74,1.893,9.54,C57BL6J-638850.48
1.01715595610243e+18,2.8885354265823,8.00681686703052,9,6.254,0.0904,10.484,0.5107,0.8384,0.7104,0,3.492,0.328,0.06464,1.235,2.316,0.3318,0,0.2754,0,0.85,1.076,0,8.66,0,3.652,2.271,0.2705,6.297,9.96,4.03,3.46,1.78,9.555,C57BL6J-638850.48
1.01715595610243e+18,2.87185014939756,7.95343008025852,9,6.41,0.03012,10.32,0.6045,1.263,0.5986,0,3.252,0.2389,0.03232,1.683,2.34,0.2147,0,0.3027,0,0.833,0.9893,0,8.66,0,3.309,2.613,0.1873,6.336,10.016,4.293,3.51,1.946,9.6,C57BL6J-638850.48
1.01715595610243e+18,2.88824447791251,7.97965057942641,9,6.16,0.03012,10.36,0.423,0.7925,0.5547,0,2.852,0.2834,0.09973,1.274,2.836,0.2673,0,0.2554,0,0.737,0.835,0,8.44,0,3.297,1.555,0.1882,6.336,9.766,3.771,3.281,1.842,9.375,C57BL6J-638850.48
1.01715595610243e+18,2.89978427075492,8.00840160256265,9,6.215,0.06024,10.48,0.4812,0.826,0.592,0,3.334,0.3047,0.097,1.502,2.418,0.287,0,0.2478,0,0.8154,1.062,0,8.586,0,3.451,2.264,0.2715,6.21,9.84,3.852,3.395,1.9375,9.53,C57BL6J-638850.48
1.01715595610244e+18,2.87132365656484,7.88658559119578,9,6.348,0,10.33,0.603,1.022,0.543,0,3.14,0.2417,0.03232,1.881,2.639,0.1615,0,0.3027,0,0.732,1.026,0,8.63,0,3.096,2.191,0.1873,6.273,10,4.19,3.254,1.923,9.52,C57BL6J-638850.48
1.01715595610243e+18,2.89113646097671,8.03397033051691,9,5.914,0.03012,10.445,0.2876,1.3,0.6123,0,3.248,0.257,0.06464,1.388,3.94,0.3267,0,0.2478,0,0.8433,0.943,0,8.43,0.11346,3.477,1.461,0.2169,5.953,9.56,3.467,1.968,1.94,9.52,C57BL6J-638850.48
1.01715595610243e+18,2.86767531624175,7.98677860339795,9,6.188,0,10.31,0.518,1.394,0.5,0,2.51,0.1671,0.03506,1.682,2.207,0.2573,0,0.2003,0,0.701,1.07,0,8.37,0,2.857,2.168,0.2676,6.04,9.94,3.975,3.1,1.876,9.52,C57BL6J-638850.48
1.01715595610243e+18,2.89333062525807,7.98586087626951,9,6.297,0.06024,10.31,0.55,1.299,0.5615,0,2.602,0.1671,0.03232,1.679,2.217,0.3484,0,0.1377,0,0.8164,1.164,0,8.484,0,2.883,2.004,0.2954,6.184,9.9,3.838,2.645,1.882,9.52,C57BL6J-638850.48
1.01715595610243e+18,2.85826072291207,7.93891216375796,9,6.363,0.06024,10.33,0.4812,1.476,0.556,0,2.92,0.1666,0.06464,1.567,2.2,0.2598,0,0.1927,0,0.7036,1.069,0,8.58,0,3.021,2.348,0.2686,6.312,9.91,4.047,3.193,2.033,9.555,C57BL6J-638850.48
1.01715595610243e+18,2.8475981282442,7.94175098316613,9,6.293,0,10.34,0.509,1.347,0.538,0,2.758,0.2983,0,1.789,2.318,0.25,0,0.2478,0,0.691,1.271,0,8.51,0,3.09,2.271,0.2944,6.312,10.016,3.95,3.055,1.853,9.58,C57BL6J-638850.48
1.01715595610243e+18,2.87444198885585,8.04876606744967,9,6.285,0.03012,10.41,0.568,1.242,0.6655,0,3.117,0.3237,0,1.538,2.584,0.2488,0,0.2754,0,0.68,1.166,0,8.64,0,3.354,2.338,0.2418,6.285,10,4.09,3.336,1.828,9.52,C57BL6J-638850.48
1.01715595620243e+18,2.88522750220645,8.06968076056116,9,6.133,0,10.266,0.3728,1.43,0.4316,0.02922,2.318,0.3098,0.0854,1.569,2.373,0.4307,0,0.1377,0,0.7974,1.453,0,8.055,0,2.955,2.182,0.3718,5.79,9.88,3.627,2.793,2.14,9.55,C57BL6J-638850.48
1.01715595610243e+18,2.87042110921031,7.97937818292601,9,6.32,0,10.31,0.542,1.173,0.4546,0,2.86,0.1879,0,1.623,2.422,0.2206,0,0.2754,0,0.688,1.131,0,8.56,0,2.95,2.582,0.2676,6.207,10.03,4.15,3.504,1.935,9.59,C57BL6J-638850.48
1.01715595610243e+18,2.8589459843735,7.95639598073611,9,6.293,0.03012,10.32,0.5767,1.23,0.528,0,2.688,0.1907,0,1.71,2.62,0.2803,0,0.1927,0,0.664,1.17,0,8.516,0,2.842,1.94,0.2676,6.016,10.016,3.998,2.568,1.97,9.51,C57BL6J-638850.48
1.01715595610243e+18,2.86193797297991,7.96402111372444,9,6.24,0,10.414,0.542,0.956,0.6406,0,3.162,0.3794,0,1.458,2.818,0.2433,0,0.3027,0,0.7944,1.226,0,8.58,0,3.525,2.262,0.2428,6.117,9.99,3.854,3.229,1.903,9.52,C57BL6J-638850.48
